Ligne;Ligne Q qualif;Ligne approfondissement Accident;ACCIDENT;NBACC1;ACCFREQUENCE1;ANNEEACC1_1;ANNEEACC1_2;ANNEEACC1_3;ANNEEACC1_4;ANNEEACC1_5;NBACC2;ACCFREQUENCE2;ANNEEACC2_1;ANNEEACC2_2;ANNEEACC2_3;ANNEEACC2_4;ANNEEACC2_5;NBACC3;ACCFREQUENCE3;ANNEEACC3_1;ANNEEACC3_2;ANNEEACC3_3;ANNEEACC3_4;ANNEEACC3_5;NBACC4;ACCFREQUENCE4;ANNEEACC4_1;ANNEEACC4_2;ANNEEACC4_3;ANNEEACC4_4;ANNEEACC4_5;NBACC5;ACCFREQUENCE5;ANNEEACC5_1;ANNEEACC5_2;ANNEEACC5_3;ANNEEACC5_4;ANNEEACC5_5;NBACC6;ACCFREQUENCE6;ANNEEACC6_1;ANNEEACC6_2;ANNEEACC6_3;ANNEEACC6_4;ANNEEACC6_5;NBACC7;ACCFREQUENCE7;ANNEEACC7_1;ANNEEACC7_2;ANNEEACC7_3;ANNEEACC7_4;ANNEEACC7_5;NBACC8;ACCFREQUENCE8;ANNEEACC8_1;ANNEEACC8_2;ANNEEACC8_3;ANNEEACC8_4;ANNEEACC8_5;NBACC9;ACCFREQUENCE9;ANNEEACC9_1;ANNEEACC9_2;ANNEEACC9_3;ANNEEACC9_4;ANNEEACC9_5;NBACC10;ACCFREQUENCE10;ANNEEACC10_1;ANNEEACC10_2;ANNEEACC10_3;ANNEEACC10_4;ANNEEACC10_5;NBACC11;ACCFREQUENCE11;ANNEEACC11_1;ANNEEACC11_2;ANNEEACC11_3;ANNEEACC11_4;ANNEEACC11_5;NBACC12;ACCFREQUENCE12;ANNEEACC12_1;ANNEEACC12_2;ANNEEACC12_3;ANNEEACC12_4;ANNEEACC12_5;NBACC13;ACCFREQUENCE13;ANNEEACC13_1;ANNEEACC13_2;ANNEEACC13_3;ANNEEACC13_4;ANNEEACC13_5;NBACC14;ACCFREQUENCE14;ANNEEACC14_1;ANNEEACC14_2;ANNEEACC14_3;ANNEEACC14_4;ANNEEACC14_5;AUTRESACC;NBAUTRESACC;ANNEEAUTREACC1;ANNEEAUTREACC2;ANNEEAUTREACC3;ANNEEAUTREACC4;ANNEEAUTREACC5;LIEUAUTREACC1;LIEUAUTREACC2;LIEUAUTREACC3;LIEUAUTREACC4;LIEUAUTREACC5;DESCRIPTIONAUTRESACC1;DESCRIPTIONAUTRESACC2;DESCRIPTIONAUTRESACC3;DESCRIPTIONAUTRESACC4;DESCRIPTIONAUTRESACC5;NBAUTRESACCCIRCUIT;NBAUTRESTOUTTERRAIN;EXPCYCLO;EXP125;EXPSUP125;ACCORDNEXTQ;CHOIXACC;RGPMTACC;RECUPANNEE;RECUPLIEU;RECUPANNE;RGPMTAC;CHOIX1;CHOIX2;CHOIX3;CHOIX4;CHOIX5;CHOIX6;CHOIX7;DESCRIPTION;RUPTURE;FAITS;ABS_REACTION;AUTRE_REACTION;PRECISIONREACTIONOUI;RECUL;PRECISIONREACTIONNON;IMPACTCOMPORTEMENT;AUTREUSAGER;REACTIONAUTREUSAGER;CONNAISSANCEREACTIONUSAGER;DIFFICULTES;AGGRAVATION;DIFFICULTES2;EMOTIONS1;EMOTIONS2;EMOTIONS3;EMOTIONS4;EMOTIONS5;EMOTIONS6;AUTRESENTIMENT;CLASSEMENTEMOTIONS1;CLASSEMENTEMOTIONS;CLASSEMENTEMOTIONS5;CLASSEMENTEMOTIONS6;CLASSEMENTEMOTIONS7;CLASSEMENTEMOTIONS8;CLASSEMENTEMOTIONS9;EXPLICATIONRESSENTI;BIENEQUIPE;ALLURE;ALLUREVITEDETAIL;ALLURELENTEDETAIL;SITUATIONPRESSE;SITUATIONDISTRAIT;SITUATIONCONFIANT;SITUATIONCONTROLE;SITUATIONLUDIQUE;SITUATIONPERF;SITUATIONSTRESS;SITUATIONFATIGUE;HUMEURNEUTRE;HUMEURGAI;HUMEURMECONTENT;HUMEURTRISTE;HUMEURCOLERE;CONTRIBUTION1;CONTRIBUTION2;CONTRIBUTION3;CONTRIBUTION4;CONTRIBUTION5;CONTRIBUTION6;CONTRIBUTION7;CONTRIBUTION8;CONTRIBUTION9;ROLEINFRA;ELEMENTINFRA1;ELEMENTINFRA2;ELEMENTINFRA3;ELEMENTINFRA4;ELEMENTINFRA5;ELEMENTINFRA6;ELEMENTINFRA7;ELEMENTINFRA8;ELEMENTINFRA9;ALCOOL;TXALCOOL;STUP;SEMAINE;MOMENTJOURNEE;TEMPS;CAUSEACC1;CAUSEACC2;CAUSEACC3;CAUSEACC4;CAUSEACC5;FORMATIONCAUSE;FORMATION1;FORMATION2;FORMATION3;FORMATION4;FORMATION5;TRAFIC;CHAUSSEE1;CHAUSSEE2;CHAUSSEE3;CHAUSSEE4;TYPEACC;BLESSURE;TETE;COU;THORAX;MEMBRESSUP;COLONNE;BASSIN;MEMBRESINF;HOPITAL;PLUS24H;TRAJET;TYPEROUTE;MOTIF;SENSTRAJET;PASSAGER;VITESSE;DESCEQ1;DESCEQ2;DESCEQ3;DESCEQ4;DESCEQ5;DESCEQ6;DESCEQ7;DESCEQ8;DESCEQ9;DESCEQ10;VEHICULEETE;VEHICULEAUTOMNE;VEHICULEPRINTEMPS;VEHICULEHIVER;VEHICULESEMAINE;VEHICULEWE;VEHMARQUE;VEHCYLINDREE;VEHMODELE;VEHSEGMENT;VEHSIDE;EQ2RMABS;EQ2RMCBS;EQ2RMABSCBS;EQ2RMREGULATEUR;EQ2RMLIMITEUR;EQ2RMPHARESDIRECT;EQ2RMCOUPURE;EQ2RMANTIPATINAGE;EQ2RMANTIXHEELING;EQ2RMSTABILILTE;VEHKM;POINTS;DUREE;AUTRE2RM;VEHPRECMARQUE;VEHPRECCYLINDREE;VEHPRECMODELE;VEHPRECSEGMENT;VEHPRECSIDE;TEMPS2RMPREC;FREQVEHPREC;DATE_NAISS;CSP;SOCIETAIRE;SALARIE;SECTEUR2RM;NBPERSFOYER;SITFAM;NBENF;TRNBENF1;TRNBENF2;TRNBENF3;TRNBENF4;NBAUTOFOYER;NBCYCLOFOYER;NBSCOOTFOYER;NBMOTOFOYER;NBTRIKEFOYER;NB2RMCONDUIT;MARQUE1;CYLINDREE1;MODELE1;SEGMENT1;SIDE1;ANMISECIRCU1;ASS1;FREQ1;USAGE1;NBKM1;GARAGE1;MARQUE2;CYLINDREE2;MODELE2;SEGMENT2;SIDE2;ANMISECIRCU2;ASS2;FREQ2;USAGE2;NBKM2;GARAGE2;MARQUE3;CYLINDREE3;MODELE3;SEGMENT3;SIDE3;ANMISECIRCU3;ASS3;FREQ3;USAGE3;NBKM3;GARAGE3;MARQUE4;CYLINDREE4;MODELE4;SEGMENT4;SIDE4;ANMISECIRCU4;ASS4;FREQ4;USAGE4;NBKM4;GARAGE4;MARQUE5;CYLINDREE5;MODELE5;SEGMENT5;SIDE5;ANMISECIRCU5;ASS5;FREQ5;USAGE5;NBKM5;GARAGE5;NBKMTOT;PERMIS1;PERMIS2;PERMIS3;PERMIS4;PERMIS5;PERMIS6;PERMIS7;PERMIS8;PERMIS9;ANPERMIS1;ANPERMIS6;ANPERMIS7;ANPERMIS2;ANPERMIS3;ANPERMIS8;ANPERMIS9;ANPERMIS4;ANPERMIS5
2009;6460;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10FEB1970;7;1;1;1;2;3;;NRP;;;;2;0;0;3;0;3;HARLEY-DAVIDSON;1200;SPORTSTER;ROADSTER;2;2005;37;3;1;8000;7;MOTO GUZZI;1100;GRISO;ROADSTER;2;2006;37;3;1;500;7;BUELL;1200;XB12-S LIGHTNING;ROADSTER;2;2009;37;4;1;500;7;;;;;;;;;;;;;;;;;;;;;;;9000;3;4;;;;;;;;NRP;NRP;NRP;NRP;1992;NRP;NRP;1990;NRP
1343;6461;;1;0;5;;;;;;1;5;2014;;;;;1;6;2014;;;;;0;3;;;;;;0;6;;;;;;0;5;;;;;;0;3;;;;;;0;3;;;;;;0;3;;;;;;0;5;;;;;;0;5;;;;;;0;2;;;;;;0;5;;;;;;0;4;;;;;;0;;;;;;;;;;;;;;;;;;;0;9;2;1;11;3;2014;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;06NOV1976;5;1;1;1;3;4;1;NRP;;;;7;0;0;1;0;1;SPIGAOU;125;DAX REPLICA EVO S;ROADSTER;2;2011;37;2;1;5000;7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5000;4;;;;;;;;;NRP;NRP;NRP;NRP;NRP;NRP;NRP;1994;NRP
1244;6463;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;27NOV1970;6;2;3;2;4;4;2;NRP;;;;2;0;0;1;0;1;YAMAHA;1300;XJR;ROADSTER;2;2000;31;3;1;6000;7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6000;3;4;;;;;;;;NRP;NRP;NRP;NRP;2009;NRP;NRP;1989;NRP
2170;6465;;1;0;3;;;;;;0;2;;;;;;0;3;;;;;;0;2;;;;;;0;4;;;;;;0;3;;;;;;0;2;;;;;;0;5;;;;;;2;6;1994;1996;;;;0;5;;;;;;0;4;;;;;;0;2;;;;;;0;3;;;;;;0;3;;;;;;1;1;1998;;;;;bernay;;;;;à un stop,percuté par l'avant par une auto en marche arriere;;;;;0;0;5;0;21;1;42;9;1996;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;14DEC1970;8;1;3;2;1;1;;NRP;;;;2;0;0;1;0;1;SUZUKI;1000;TL-S;SPORTIVE;2;1999;37;4;1;2600;7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2600;4;3;;;;;;;;NRP;NRP;NRP;NRP;1994;NRP;NRP;1989;NRP
1940;6466;;1;0;6;;;;;;0;4;;;;;;0;5;;;;;;0;2;;;;;;0;4;;;;;;0;4;;;;;;1;4;1978;;;;;0;3;;;;;;0;4;;;;;;0;5;;;;;;1;5;2014;;;;;0;1;;;;;;0;3;;;;;;0;4;;;;;;0;;;;;;;;;;;;;;;;;;;43;0;39;1;51;11;2014;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;28DEC1957;7;2;3;2;2;3;;NRP;;;;2;0;0;2;0;2;YAMAHA;900;XJS DIVERSION;Routière / GT;2;1996;28;2;1;25000;7;YAMAHA;650;XJ TURBO;Routière / GT;2;1982;28;4;1;300;7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;25300;3;4;;;;;;;;NRP;NRP;NRP;NRP;1976;NRP;NRP;1976;NRP
1255;6468;;1;0;5;;;;;;0;5;;;;;;0;4;;;;;;0;4;;;;;;0;6;;;;;;0;3;;;;;;0;4;;;;;;0;4;;;;;;1;5;2011;;;;;0;3;;;;;;0;3;;;;;;0;2;;;;;;0;3;;;;;;0;3;;;;;;1;1;2006;;;;;tours;;;;;arrêté à un rond point pour laisser passer un camion,j'ai été percuté par l'arrière, au moment de redémarrer. Le conducteur, qui était arrêté aussi, déclare avoir oublié que j'étais devant lui.;;;;;0;0;0;0;16;1;41;9;2011;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;17NOV1975;4;1;3;1;4;4;2;NRP;;;;2;0;0;2;0;2;VOXAN;1000;BLACK MAGIC;Routière / GT;2;2007;37;2;2;8000;4;TRIUMPH;955;DAYTONA IE;SPORTIVE;2;2001;37;3;1;2000;7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10000;3;4;;;;;;;;NRP;NRP;NRP;NRP;1998;NRP;NRP;1994;NRP
278;6474;;1;0;2;;;;;;0;4;;;;;;0;5;;;;;;0;1;;;;;;1;5;2008;;;;;0;4;;;;;;0;4;;;;;;0;4;;;;;;5;6;2008;2009;2009;2013;2014;0;2;;;;;;0;2;;;;;;0;1;;;;;;0;4;;;;;;0;3;;;;;;0;;;;;;;;;;;;;;;;;;;0;0;8;1;21;5;2008;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12APR1988;7;1;3;2;1;1;;NRP;;;;0;0;0;2;0;2;YAMAHA;1200;XTZ SUPER TENERE;TRAIL / SUPERMOTARD;2;2011;40;2;1;20000;6;YAMAHA;1200;V-MAX;CUSTOM;2;1987;37;4;1;1000;7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;21000;3;4;;;;;;;;NRP;NRP;NRP;NRP;2006;NRP;NRP;2008;NRP
2013;6475;;1;1;5;2000;;;;;0;6;;;;;;0;5;;;;;;0;2;;;;;;0;3;;;;;;0;3;;;;;;0;2;;;;;;0;3;;;;;;0;4;;;;;;0;5;;;;;;0;5;;;;;;0;2;;;;;;0;3;;;;;;0;4;;;;;;1;2;2000;2010;;;;Paluel;douarnenez;;;;un véhicule arriavant en face m'a coupé la route en tournant sur sa gauche.;a un stop, un quad a tapé l'arriere de la moto;;;;0;0;0;0;26;1;71;15;2000;Paluel;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;11JAN1966;7;1;3;2;4;4;2;NRP;;;;2;0;0;1;0;1;YAMAHA;1300;FJR ABS;Routière / GT;2;2006;37;1;2;100000;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;100000;3;4;;;;;;;;NRP;NRP;NRP;NRP;1989;NRP;NRP;1985;NRP
1295;6476;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;17MAY1962;7;2;3;2;3;4;1;NRP;;;;2;0;0;1;0;1;YAMAHA;125;TW;TRAIL / SUPERMOTARD;2;2006;40;4;2;2000;7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2000;4;;;;;;;;;NRP;NRP;NRP;NRP;NRP;NRP;NRP;1997;NRP
2072;6485;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;29JUL1957;6;2;3;2;2;3;;NRP;;;;2;1;0;0;0;1;PEUGEOT;50;VIVACITY M;SCOOTER;2;2011;31;2;1;2500;7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2500;2;4;7;;;;;;;NRP;NRP;1975;1975;NRP;NRP;NRP;1975;NRP
1187;6488;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;14JUN1966;5;2;3;2;4;4;2;NRP;;;;2;0;0;1;0;1;SUZUKI;600;BANDIT-S;ROADSTER;2;2000;9;3;2;2000;7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2000;3;4;;;;;;;;NRP;NRP;NRP;NRP;2008;NRP;NRP;1984;NRP
1853;6489;;1;0;3;;;;;;0;5;;;;;;0;5;;;;;;0;4;;;;;;0;5;;;;;;0;4;;;;;;0;3;;;;;;0;3;;;;;;0;3;;;;;;0;3;;;;;;0;4;;;;;;0;4;;;;;;0;5;;;;;;0;3;;;;;;0;;;;;;;;;;;;;;;;;;;0;0;15;1;;NRP;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10MAY1963;7;1;1;2;1;1;;NRP;;;;1;0;0;1;0;1;BMW;650;F650ST STRADA;ROADSTER;2;1998;37;3;1;1000;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1000;4;3;;;;;;;;NRP;NRP;NRP;NRP;1995;NRP;NRP;1982;NRP
1799;6490;;1;0;4;;;;;;0;5;;;;;;0;4;;;;;;0;5;;;;;;0;3;;;;;;0;3;;;;;;0;4;;;;;;0;3;;;;;;1;5;2013;;;;;0;2;;;;;;0;4;;;;;;0;2;;;;;;0;3;;;;;;0;3;;;;;;1;1;2014;;;;;Challans;;;;;Freinage, bloquage de la roue avant glissade;;;;;1;0;2;3;4;1;71;15;2014;Challans;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;24AUG1992;7;2;3;2;1;1;;NRP;;;;1;0;0;1;0;1;HONDA;500;CB500T;ROADSTER;2;1998;16;2;1;10000;7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10000;1;2;4;8;;;;;;2006;NRP;NRP;2008;NRP;2011;NRP;2010;NRP
253;6491;146;1;0;5;;;;;;0;4;;;;;;0;5;;;;;;1;4;1985;;;;;0;3;;;;;;0;1;;;;;;0;3;;;;;;0;4;;;;;;1;4;2006;;;;;0;6;;;;;;0;6;;;;;;0;1;;;;;;0;1;;;;;;0;1;;;;;;0;;;;;;;;;;;;;;;;;;;2;0;15;1;41;9;2006;;2006;Vous avez fait une sortie de route, une perte de contrôle ou une glissade sans rien percuter.;4;;;;;;;Chute dans un col de montagne, en montée, roulage en groupe avec trop d'optimisme de ma part...;L'élément déclencheur est une surconduite de ma part;Pas eu le temps de faire quoi que se soit. Après une perte de l'avant, choc au sol immédiat et violent puis glissade avec perte des repères jusqu'au choc final;1;0;;;Parce que une fois au sol, il n'y avait plus qu'à attendre la fin de la glissade...et c'est long...;2;0;;;;;;1;2;6;;;;;3;1;;;;2;;parce que je pensais maitriser la situation;4;1;4;;1;1;4;4;1;3;1;1;1;1;4;4;4;1;5;;;;;;;;2;;;;;;;;;2;2;;2;3;1;1;100;0;0;0;0;NSP;;;;;;1;1;;;;2;1;7;;;;;;;1;0;3;2;3;;0;110;1;2;3;4;7;9;;;;;4;4;4;2;1;4;HONDA;1300;CB-F;ROADSTER;2;1;1;1;1;1;1;1;1;1;1;15000;12;4;1;HONDA;750;"CB ""F1""";ROADSTER;2;4;3;21MAY1964;5;1;3;2;3;2;2;NRP;;;;1;0;9;1;0;1;HONDA;1300;CB-F;ROADSTER;2;2004;37;3;1;6000;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6000;3;;;;;;;;;NRP;NRP;NRP;NRP;1983;NRP;NRP;NRP;NRP
1384;6492;;1;0;3;;;;;;0;5;;;;;;0;6;;;;;;0;2;;;;;;0;5;;;;;;0;4;;;;;;0;3;;;;;;0;4;;;;;;1;4;2005;;;;;0;2;;;;;;0;2;;;;;;0;3;;;;;;0;2;;;;;;0;3;;;;;;1;1;2006;;;;;Dublin;;;;;J'arrivais à un feu rouge où un autre véhicule était déjà arrêté, je me positionne derrière ce véicule et la voiture arrivant derriere moi m'a percuté par l'arrière, m'envoyant voler sur la file opposée.;;;;;0;0;0;0;14;0;;NRP;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;07MAR1974;5;2;3;2;6;4;4;NRP;;;;1;0;0;1;0;1;KAWASAKI;500;ER-5;ROADSTER;2;1998;2;3;1;1000;7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1000;4;8;;;;;;;;NRP;NRP;NRP;NRP;NRP;2001;NRP;1992;NRP
77;6493;478;1;0;3;;;;;;0;3;;;;;;1;6;2012;;;;;0;2;;;;;;0;2;;;;;;0;3;;;;;;0;3;;;;;;0;3;;;;;;1;4;2014;;;;;0;3;;;;;;0;2;;;;;;0;2;;;;;;0;2;;;;;;0;4;;;;;;0;;;;;;;;;;;;;;;;;;;2;10;0;1;41;9;2014;;2014;Vous avez fait une sortie de route, une perte de contrôle ou une glissade sans rien percuter.;3;;;;;;;Par un temps de pluie légère, sur une avenue pavée à 3 voies, un camion arrive avec la priorité à toute berzingue depuis une petite rue à droite et traverse les 3 voies - surpris, alors que je suis sur la voie de gauche, je freine vigoureusement pour l'éviter et dérape. 1 - gros problème de signalisation 2 - gros problème des pavés à Paris : j'ai le sentiment que sur un revêtement de route normal, je n'aurais pas dérapé - je n'avais en effet pas freiné très fort...;Les pavés, et un camion trop pressé;J'ai tenté de freiner tandis que le camion a continué sa route sans s'arrêter. Après la chute, j'ai eu la chance d'être tout seul sur l'avenue à ce moment-là, et de n'accrocher rien ni personne;NRP;1;freiner un poil encore moins fort;la surprise de voir le camion débouler à grande vitesse;;2;0;;;;;;1;2;6;;;;;3;1;;;;2;;NRP;3;3;;;1;1;3;3;1;1;1;1;1;4;4;4;4;7;;;;;;;;;1;3;AUT|p*** de pavés;;;;;;;2;2;;2;1;1;2;10;30;0;50;10;NSP;;;;;;1;2;;;;1;;;;;;;;;;;1;1;1;1;0;40;1;10;2;;;;;;;;4;4;4;4;4;4;PIAGGIO;125;X10;SCOOTER;2;1;0;1;1;1;1;1;1;1;1;5000;8;3;1;PIAGGIO;125;X EVO;SCOOTER;2;3;4;12JUN1977;5;1;3;2;1;1;;NRP;;;;0;1;1;0;0;1;PIAGGIO;125;X10;SCOOTER;2;2012;37;1;3;5000;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5000;4;;;;;;;;;NRP;NRP;NRP;NRP;NRP;NRP;NRP;1996;NRP
1059;6496;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;29AUG1988;7;1;3;2;2;3;;NRP;;;;2;0;0;1;0;1;YAMAHA;600;XJ6;ROADSTER;2;2010;37;2;1;1500;7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1500;4;3;;;;;;;;NRP;NRP;NRP;NRP;2011;NRP;NRP;2007;NRP
